,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,law (of Moses),"law, Moses' law",the words of Moses of long ago (G); instructions from God through Moses; Way of Moses (W);,"The Law contains the rules and instructions that God revealed to Moses for the Israelites to live correctly. The law describes actions and thoughts that please God or that do not please God. The best known laws are the Ten Commandments, written in Exodus 20. Moses received from God over 600 laws which he wrote down in Exodus and Leviticus. The law shows us humans that we are sinful because we cannot keep all the laws, therefore we should be punished. But our sin is forgiven and we are saved from punishment when we put our trust in Jesus.",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,leader,leaders,ones who guide you (G); head man (U),"A leader is someone who leads, guides, directs, commands or points to the way in which others must go. Very powerful leaders were called kings or emperors. Less powerful ones were called chiefs, governors or elders. Least powerful ones were family heads and work bosses.","king, governor, elder",other language: head man (urt),,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,leprosy,"leper, lepers",lepra (R),"Leprosy is a serious skin disease that can result in the loss of parts of the body. People who had the leprosy illness were called lepers. Those who suffered from this disease in Bible times were required to live apart from other people. (Although healthy people would never touch a leper, Jeus touched lepers when he healed them.)",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Levi,"Levites, Levite",from the clan of Lewi (R); from the clan of Liwai (K),"Levi was one of the twelve sons of Jacob, the ancestor of the Tribe of Levi, known as the Levites. In Israel, only the Levites were allowed to serve as priests and workers in the temple at Jerusalem. Both Moses and Aaron were Levites. Jesus came from the tribe of Judah so he was not a Levite, but after he died and ascended to heaven, he became the high priest for his followers because he reconciles us to God. In the New Testament, Levi is the name of a tax collecter in the Gospel of Luke. The same man is called Matthew in the Gospel of Matthew. He was a disciple of Jesus and he wrote that gospel.",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,Lion,lions,laion (K); large cat / jaguar (G); simba (W);,"Lions are very large, strong, brave cats that kill and eat other large animals. They have sharp teeth and long claws that retract. Lions are dangerous and can kill people. Kings were often compared to lions. Jesus is called the Lion of the Tribe of Judah.",,jaguar and simba not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
t,livestock,,,"Livestock are domesticated animals like goats, cows, camels, donkeys and sheep that people raise near their homes in order to use them for food, milk, carrying loads, pulling farm equipment, providing wool, etc. ","herd, shepherd",,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,locusts,locust,,"Locust are flying insects (something like a grasshopper) that may come in swarms and destroy crops and other plants. Some people eat locusts for food. In the time of Moses, one of the plagues that fell on Egypt were swarms of locusts. Many years later, the prophet Joel prophesied of locusts being sent by God as a punishment to the people of Israel.",,,,GC 7/7/2019 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Lord,,Most High God; Big/Great person; the owner/boss of all people (G); rich & important man (R); big (K); Owner (W);,The title of Lord can mean several things: (1) The Only Creator God; (2) owner of land or of slaves; (3) husband; (4) a spirit that rules over other spirits; and (5) a title of respect like Sir.,God,,"Of course, in English LORD translates the Hebrew YHWH, which the LXX translated as kurios, lord, without a definite article. Hence the practice of substituting LORD for Yahweh, and of referring to Jesus as Lord. Lord also translates the Hebrew Adonai (My Lords) used only of God.",,,,,,,,,,,,,,,,,,,,,,,,
n,Lot,,,"Lot was Abraham's nephew (his brother's son). Lot dwelt near Abraham, but when both men came to have big herds of cattle, they separated. Abraham chose to dwell in tents and Lot went and lived in the evil city of Sodom. Lot became the ancestor of the Moabites and of the Amonites; both were enemies of the Israelites.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,love,"loving, loves, loved",Want (W);,"Love is affection or desire for someone or something, or an attraction to someone or something. There are four types of love: (1) Sexual love is the desire for physical intimacy with someone else. (2) Familial love is the affection a married couple has and members of a family have for each other. (3) Brotherly love is a strong affection for another person. When two people have this affection for each other they can be good friends. (4) Love given by God is being good and kind to other people and taking care of them. It is desiring what is best for the other person and not being selfish. 
God is love, and he commands that we love him with all our heart, soul, mind and strength. God loved us and sent Jesus to save us. Jesus told his disciples to love one another and in this way the people of the world will see what God's love is like.
","kind, mercy, grace",,other lg example weard: want (W)???. E.g. better to say like a lot.,"GC 15-Feb-2019,
rev by JB 2024 ",,,,,,,,,,,,,,,,,,,,,,,
t,magi,wise men,sky watchers (W);star men; star knowers (G); men who studied the stars; lords of knowledge (W);,"The magi were wise men from the East (most likely from Persia, or modern-day Iran) who studied the sky and the stars to discern signals or messages from God. After Jesus was born, they traveled to Bethlehem to visit him and give him gifts. They were guided to look for the King of the Jews by a special star known as the “Star of Bethlehem.” ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Manasseh,,,Manasseh was the older of Joseph's two sons. Manasseh became an ancestor of one of the tribes of Israel. (The name Manasseh means Forget.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,manna,,"maanaa (R);
food which falls from the sky (G); 
","Manna was food that God gave to the Israelites during their 40-year wandering between Egypt and Canaan. In the Hebrew language, manna means ""what is it?"".  It was something like sweet bread without yeast.  Every morning, except the Sabbath, the Israelites would gather manna from the ground around their camp site. Manna has a pleasant taste, but it spoiled quickly.",bread,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Mark,,,"Mark was a common Roman name. A young Jewish man named John Mark, who had known Jesus, wrote the Gospel of Mark. He accompanied Paul and Barnabas on some of their missionary journeys.",,"This is not essential:  failed as a Christian missionary -  rather he quarreled with Paul, but is that necessary to mention here? (Hilkka)",GC 08-Mar-2019 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,,
n,Mary,,,"Mary, the mother of Jesus, was of the tribe of Judah and the line of David.  She lived in Nazareth before her marriage to Joseph. In the New Testament, there are several other women named Mary: (1) a follower of Jesus from Magdala who had seven demons cast out of her, (2) the sister of Lazarus and Martha who was from Bethany, (3) the mother of James and (4) the mother of John Mark. The name Mary may mean ""Wished-for child"" or ""Bitter.""",,," Several different women named Mary are mentioned in the New Testament: (1) Mary the mother of Jesus. (2) Mary of Magdala. Jesus drove seven evil spirits from her, and she became one of his followers (Matthew 27:55–56; Mark 16:9; Luke 8:2; John 20:1–2; 11–18, and other passages). (3) Mary of Bethany, the sister of Martha and Lazarus. She sat at the feet of Jesus and listened to his teaching (Luke 10:38–42; John 11:1–5; 12:1–7). (4) Mary the mother of James and Joseph. This Mary may be the same person as Mary the wife of Cleopas, but this is not certain (Matthew 27:56; Mark 15:40; 16:1; Luke 24:10). (5)Mary the mother of John Mark. This Mary had a house in Jerusalem where the disciples of Jesus used to meet (Acts 12:12).","mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Matthew,,,"Matthew, also known as Levi, was an educated man, a tax collector when Jesus called him to be his disciple.  Matthew wrote a Gospel book about the life of Jesus.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Media,Medes,,"The Medes were an Iranian tribe. In the 7th century BC, they founded a kingdom called Media that allied with the Persians to attack Babylon. King Darius was a Mede.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Melchizedek,,,"Melchizedek was the king of Salem and a priest who served the Most-High God. He once blessed Abraham who then gave him with a gift (a tenth, or a tithe). Because Melchizedek did not come from the priestly tribe of Levi, Jesus was likened to him, because he was not a Levite either. Both of them became legitimate priests by virtue of their obedience to the Most High God. The name Melchizedek means My King is Just. ",,,"""Without geneology."" Geneology was a requirement for Levitical priests. Netither Melchizedek nor Jesus had preiestly credentials, yet both became legitimate priests by virtue of their obedience to the Most High God.",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Mephibosheth,,,"Mephibosheth was a son of Jonathan. He was disabled, because both of his feet were broken when he was a child. After David became king, he showed much kindness to Mephibosheth.",,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,mercy,merciful,love/pity (R),Mercy is compassion shown to offenders or enemies. God shows mercy when he provides for his creatures. Jesus showed mercy when he healed the sick and raised the dead. ,"love, grace, kindness",Mercy is compassion shown to enemies or offenders. (I don't think it needs to meet material needs/HiA). (Hilkka),"GC: Do you want to contrast with grace?
RR: users can look up grace and get the contrast.",,,,,,,,,,,,,,,,,,,,,,,,
t,Messiah,Christ,"The King (whom) God promised to send;
Our Truly Important Chief (G); the appointed man (U); 
Al-Masih (W); Kaarisito (R); Mesaia (K)
","The Hebrew word Messiah, and the Greek word Christ, translate to Anointed. In the Old Testament, they called kings ""anointed"" after a prophet poured oil on their head. In the New Testament, Jesus is called the Christ, the Messiah, and God’s Anointed.","King, Son of God",other language: the appointed man (urt).; These are not helful in PNG: Al-Masih (W); Kaarisito (R,,,,,,,,,,,,,,,,,,,,,,,,,
n,Michal,,,"Michal was King Saul's daughter. She loved David who married her while he was still serving King Saul. Years later, she rebuked David after he danced in the streets of Jerusalem. She bore no children.",,,GC 25-Apr-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Midian,Midianites,,"Midian was the fourth son of Abraham's second wife, Keturah. His ancestors settled in the area east of what we call today the Gulf of Aqaba, which is southeast of Israel. The people who lived in that land were called Midianites. After Isreal was settled in the land of Canaan, the Midianites would raid and rob Israel during the time of the Judges. God strengthened Gideon to defeat the invading Midianites.",,,"GC 08-Feb-19

Gideon did not go conquer Midia.",rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,miracle,"miracles, wonders","something that caused people to be surprised (G); 
","A miracle is something surprising and unexpected that only God can do. Miracles are not magic or tricks or deception. Jesus did miracles to show he was God, such as turning water into wine and walking on the water. His apostles could also do miracles to show that they were messengers from God. Miracles can also be called signs and wonders. ",,,,GC 19-Feb-2019 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Miriam,,,Miriam was the sister of Moses who watched over him when he was a baby and was put in the bulrushes. She and Moses and their brother Aaron lead the people of Israel from slavery in Egypt to the Promised Land in Canaan. She was a prophetess who taught songs to the Israelites.,,,,GC 7/7/2019 mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Moab,"Moabite, moabites",,"Moab was a son of Abraham's nephew Lot. Moab's desendents were the Moabites, who dwelt in Moab, to the southeast of Israel across the Jordan River. The Moabites worshipped the god Molech by sacrificing their children. Ruth was a Moabite woman who married an Israeli man. She believed in the true God and accompanied her mother-in-law back to Bethlehem. She was an ancestor of King David and Jesus.
",,,,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Molech,,,"Molech is an evil spirit and a god or idol worshiped by some pagans. In some countries, worshippers sacrificed their own children to idols of Molech. Some Israelites at Jerusalem made the Lord very angry when they sacrificed their children. (The name Molech means King of death.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Mordecai,,,Mordecai was a Jewish exile who worked in the palace of King Xerxes of Persia. He reared his orphan cousin Esther who became Xerxes' queen. Xerxes rewarded Mordecai for his faithful service.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Moses,,Musa (W from Ar),"Moses lived around 1450 years before Jesus. He was born to a Hebrew slave family in Egypt, but was adopted by an Egyptian princess. Moses left Egpyt at age 40, but God sent him back to Egypt at age 80, to lead the Hebrews to Canaan. God revealed his Law to Moses, and he wrote the first books of the Old Testament.",,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,mustard,,mastad (K),"Mustard is a kind of spice plant that has tiny seeds that grow into a big plant. Jesus said, ""If you have faith as a mustard seed, you can move mountains.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,myrrh,,sticky substance of perfume called mira (R); good smelling sap of a tree called mira (K); sap that smells (W),"Myrrh is a costly, sweet-smelling sap or resin of a certain tree. The Jews used myrrh for medicine, because it makes a person sleepy so that he does not feel much pain. They also applied myrrh to dead bodies for burial.",incense,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naaman,,,"Naaman lived about 800 years before Jesus in the country of Syria where he was a commander of soldiers. He was a pagan (Gentile), not a Jew, and he suffered with a skin disease. The prophet Elisha told him to go bathe in the Jordan river. Naaman obeyed and was healed, becoming a believer in Israel's God. (Jesus told the Jews that God accepted Namaan who did not obey Moses' Law.) (The name Naaman means Pleasant.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Naomi,,,"Naomi was a woman of Israel who migrated with her husband to Moab, returning to Israel after the deaths of her husband and sons. Her daughter-in-law was Ruth, and the story of these women is written in the Old Testament in the book of Ruth.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,nard,,perfume called naad (R); good smelling liquid called nad (K);,Nard is an oily perfume made from the sap of a plant called spikenard. A woman once bought some nard and anointed Jesus' feet with it. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
n ,Nathan,,,There were two men named Nathan in the Bible. The Prophet Nathan often brought messages from from the LORD to King David. David also named a son Nathan. (The name Nathan means He Gives.),,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Nathanael,,,Nathanael was one of Jesus' disciples. His other name was Bartholomew. (The name Nathanael  means God gives.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,nation,nations,"people (G); kingdom (W);
","A nation is a group of people in a country which is governed by the same government. They usually are of the same origin, have the same language and have common traditions. (Kingdoms are nations ruled by a king. Empires are several nations governed by one supreme ruler.) ","country, empire, kingdom",,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Nazareth,,,Nazareth was a village in the province of Galilee to the North of Judah. Joseph brought Mary and Jesus to dwell in Nazareth after they returned from Egypt. Because Jesus grew up in Nazareth he was called a Nazarene.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Nebuchadnezzar,,,"Nebuchadnezzar was a pagan king of Babylon from 605 till 562 BC. He was a cruel enemy of the Jewish people. He destroyed the Kingdom of Judah, besieged, plundered and destroyed Jerusalem, and he took the Israelites away in captivity to Babylon. Much later he changed and believed in Israel's God. (The name Nebuchadnezzar means May Nabu preserve my son.) ",,,GC 08-Mar-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Nehemiah,,,Nehemiah was a Jewish high official in the Persian Empire. King Artaxerxes sent Nehemiah to Judah about 445 BC to rebuild Jersalem. He also helped the Jews rededicate themselves to the LORD. (The name Nehemiah means the Lord comforts.) ,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nile River,Nile,,"The Nile River flows northward through the entire country of Egypt, providing most of the country's water. Egyptians considered the Nile to be a sacred source of life. God gave Moses the power to make the water in the Nile turn to blood.  (The source of the Nile River is located in Lake Victoria in Uganda.)",,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Nineveh,Ninevites,,"Nineveh was a great pagan city in the land of Assyria. The Ninevites were very cruel and evil. Around 800 years before Christ, God sent the prophet Jonah to warn the Ninevites that he was going to destroy them. When they heard Jonah's message, they along with their king wept and repented. Because of this, God forgave them and did not destroy them at that time. (But when they repented, Jonah got mad at God, because he had wanted the LORD to destroy Ninevah.)
The little book of Naham tells about when God later destroyed Nineveh.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Noah,,,"Noah lived around 2000 years before Jesus. In those days, humans were doing so much evil that God ordered Noah to build a very big boat. It took him and his family 120 years to build it. Then God caused pairs of animals and all of Noah's family to go into that boat. He then caused it to rain for 40 days and nights and a flood of water covered the land, killing all humans and animals except for those who were in the boat. Because of that, everyone alive today is a descendent of Noah and of his sons. (The name Noah means rest or comfort.) ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,oath,"oaths, vow, vows","promise (R); 
to truly declare what one is going to do (G);
bind talk (U);",An oath or vow is a solemn promise made before God and witnesses. It is done to show that one sincerely intends to do what one says and also that one is telling the truth.,"covenant, promise, curse",other lg: bind talk (urt),,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Obed-Edom,,,"Obed-Edom was a man from the tribe of Levi. King David once kept the Ark of the Covenant in Obed-Edom's house, and the Lord prospered Obed-Edom. After David brought the Ark of the Covenant to Jerusalem, he made Obed-Edom a gate keeper there. (The name Obed-Edom means Servant of Edom.) ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,olive,"olives, olive oil",tree of oliwa (R),"Olive is a kind of fruit-bearing tree. The fruit is edible after it has been cured. Olive oil comes from crushing fruit from an olive tree. Olive oil was used to make food, and was applied to wounds as medicine. Prophets anointed priests and new kings by pouring oive oil on their head. Mount of Olives is also the name of a hill near Jerusalem where Jesus often stayed.  It had a orchard of olive trees on it.",,,"The Mt of Olives is also called Har-Mokhed, which transliterates into Greek as Armageddon, and has nothing to do with the Mageddo Plains.",,,,,,,,,,,,,,,,,,,,,,,,
t,Omega,"zed, zee",Omegaa (R); finisher; ,"Omega is the name of the last letter of the Greek alphabet. The Book of Revelation calls Jesus the Alpha and the Omega, the Beginning and the End, (that is, the Creator and the Redeemer).",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Orpha,,,Orpha was a woman of Moab. She was a widow who had been married to one of Naomi's two sons.,Ruth,,,,,,,,,,,,,,,,,,,,,,,,,,
t,palace,palaces,"the big house of the real cheif (G); 
",A palace is a large house where a king lives. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Paradise,,God's gathering place (W); Paradais (k); God's living place (G); ),"Paradise is a Greek word meaning ""beautiful garden."" People say that the Garden of Eden where God placed Adam and Eve was a paradise, but the Bible does not use that word to describe that garden. Paradise refers to heaven where departed (dead) believers go.",Eden,"refers to Allah/islam, Aajana not helpful in PNG (Hilkka)","Paradise is not used in the Bible to refer to Eden, does it?","mod by CB 2024 
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Paul,,,"Paul was first known as Saul and he was a Jew who violently mistreated Christians. After Jesus appeared to Saul, he became an apostle calling himself Paul. Paul suffered a lot while serving Jesus by telling the Good News and starting many new churches. Paul wrote ten letters that are now part of the New Testament of the Holy Bible.  (The name Paul means Little.)",,,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,pearl,,"valuable stone inside a clamshell (R), egg of kina shell (R); (valuable) stone inside a clamshell (K); a very good stone called per (G); ","A pearl is an expensive kind of stone that comes from the sea. They are made by clams. When a piece of sand gets inside their shell, it irritates them and they secrete a milky white substance to cover it. The more times they secrete the substance, the bigger a pearl can get. Pearls are generally white,  round and shiny, and they are used to make necklaces and jewelry.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Persia,Persians,,"Persia was once one of the largest empires in the world. When Cyrus the Great was the king of Persia, he conquered Babylon in 539 BC and liberated the Jews from captivity. The Persian Empire ruled over much of the world for hundreds of years. Today that part of the world is known as Iran. ",,,GC 08-Mar-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Peter,Cephas,,"Peter was one of Jesus' twelve apostles. He was a fisherman who whose name was Simon. Jesus called him to become a disciple. He is better known by the name Peter, which is a greek word meaning rock. He was also called Cephas, which is the aramaic word for rock. Jesus chose Peter be the first one to tell the Good News to Jews after Jesus died and rose, and to be the first one to tell the Good News to non-Jew or Gentiles. Peter wrote two letters of the New Testament of the Bible.",,,GC 19-Feb-2019,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,Pharaoh,pharaohs,Pero (in Egypt) (K); king over Egypt; head man of Egypt (U),"Pharaoh is the name that ancient Egyptians gave to their kings. Each Pharaoh also had a personal name. Some of the Pharaohs that are mentioned in the Bible were ones who dealt with Abraham, Joseph, Moses and Solomon. Many years later, Isaiah, Jeremiah and Ezequiel prophesied against the Pharaohs of Egypt.",king,head man of Egypt (urt),,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Pharisees,Pharisee,"Jewish religious leader;
Farasi;
","Pharisees were Jewish religious leaders and teachers who sought to obey the Law of Moses by keeping many rules. They would scorn other Jews who were not so strict about keeping those rules. Jesus called them hypocrites, because they often sinned but would not admit it. Many Pharisees opposed Jesus and his apostles, sometimes arresting or killing Christians.","Sadducee, Jewish religious leader",,,,,,,,,,,,,,,,,,,,,,,,,,
n,Philip,,,"There were several men named Philip. (1) King Herod, the Jewish king at the time of Jesus, named two of his sons Philip. (2) Another was one of Jesus' first disciples. (3) Another one was a deacon in the early church. He became an evangelist who led many Samaritans to Jesus, as well as an Ethiopian official.",,,GC 19-Feb-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Philistine,"Philistines, Philistia",,The Philistines were a pagan tribe that lived south of Israel. They often fought against the Israelites and at times ruled over them. Samson loved a Philistine woman called Delilah.,,,GC 07-Feb-19,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
t,pig,"pigs, swine",,"Pigs, also called swine, are a short, sturdy animal that eat almost anything and who like to roll in mud to keep their skin moist. God's law forbade the people of Israel to eat pig meat (pork).",,,GC 08-Mar-2019,rev by JB 4/24,,,,,,,,,,,,,,,,,,,,,,,
n,Pilate,,,"Pilate was the Roman governor in charge of Judea in the days when Jesus was teaching. When Jewish leaders arrested Jesus, Pilate agreed to crucify Jesus, even though he knew Jesus was innocent and it was a wrong thing to do.",,,At least two inscriptions have been uncovered that contain Pilat's name.,,,,,,,,,,,,,,,,,,,,,,,,
t,plague,"plagues, pestilence",,"A plague is a disease or infestation that has a destructive affect on many folk at the same time. In the time of Moses, God caused 10 plagues to come upon Egypt.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,pool,,water (G); ,A pool is usually a man-made hole filled with water for bathing in.,,not helpful in PNG: ; pisin (W from Fr),,,,,,,,,,,,,,,,,,,,,,,,,
t,porch,,place near the door (G); ,A porch is a covered area adjoining an entrance to a building and usually having a separate roof. It could also be a covered platform outside a house but near the door.,,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Potipher,,,Potiphar was the name of an official in Egypt. He bought Joseph as a slave and put him in charge of his household. His wife tried to seduce him so Potiphar put him into prison. ,,,GC 23-Feb-2019,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,praise,"praises, praising, praised","to speak well of (G); 
magnify (W);","Praise is an expression of approval, a commendation or a form of worship. To praise someone is to tell how they have done a good thing. We praise God with our words, songs and music, telling how great he is.","thank, honor",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pray,"prayer, prays, praying, prayed","to speak to God (G); 
plead (W);","To pray means to speak or make requests to a powerful human or to a god. Jesus commanded Christians to pray often to God, using Jesus' name. ","praise, worship",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,preach,"preacher, preaching, preached","tell God's beautiful word (G); 
","To preach is to speak a message and explain the teachings of a religion. In the Old Testament, the prophets would preach and exhort the people to listen to the message from the Lord. In the New Testament, John the Baptist, Jesus and his disciples preached the Good News of salvation. The message preached can be called a sermon. ","teach, prophet",,GC 15-Feb-2019,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
t,priest,priests,"giving to God one (R); priest (transliterated) (G); 
sacrificer (W);","A priest is a religious leader who is dedicated and consecrated to making, celebrating and offering sacrifices. In Biblical times a priest could also teach the Law, mediate disputes, verify healing and mangage the temple and its wealth.",Levite,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Priscilla,Prisca,,"Priscilla, also called Prisca, was the wife of Aquila. They were Jews from Rome who helped Paul plant churches in Greece and in Syria. ",Aquila,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,promise,"promises, promised","placing a thing by words / mouth;
tell what one is going to do in the future (G); promise (R);","A promise is a commitment by someone to do or not do something. When God makes a promise, he will certainly do what he has said he will do. Some of the important promises God made were: 1) to never cover the earth with a flood again 2) to give land to Abraham and to make his descendants more numerous than stars in the sky 3) to establish a kingdom for David and his descendants. Some of God's promises are conditional, that is, they require humans to do something first. ""If you confess that Jesus is Lord (the condition), then you will be saved (the promise).""","covenant, oath",,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,prophecy,prophecies,talk of prophet (R); spoken by God's word (W);,"A prophecy is a message that God has revealed to someone to tell to others. Some prophecies warn sinners to repent, some prophecies provide guidance or teaching, and other prophecies foretell future events. The Bible contains hundreds of prophecies. Many prophecies that were made about the coming Messiah during the Old Testament times were fulfilled by Jesus while he lived on the earth.","angel, preacher, teacher, apostle, prophesy",Allah (not good in PNG),,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,prophesy,"prophesying, prophesied, prophesies",talk of prophet (R); touch God's words (W),"To prophesy is to speak with help from God. It is to declare God’s will, interpret his purposes or to make known his truth. It is done to strengthen others, to comfort them or to help them grow. To prophesy can also mean to announce or predict something that will happen in the future. ","prophet, prophecy","I would remove this: All believers can prophesy (through songs, citing Scripture, teaching, testimonies, teaching and drama.) Allah not  good in PNG. (Hilkka)","1 Corinthians 14:3, 24-26",mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,prophet,"prophets, prophetess","teller of God's word (G); 
person to whom God gives words (D); 
God's mouth (spokesperson);
a human messenger for God or gods/idols;
way-goer (W); poropet (K)","A prophet was someone who was used by God to communicate His message to the world. Most of the messages given by prophets in the Old Testament concerned the people of Israel. It was very important for a prophet to deliver God’s message correctly. Most prophets of God were men, but the Old Testament also mentions prophetesses such as Miriam, Deborah, and Huldah.","angel, preacher, teacher, apostle, prophecy, prophesy",,,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
,province,,,"A province is an area of land that is part of a country, similar to a state or a county. It can also be an area of land under political control by an outside country, similar to a colony.",,,,added by CB 2024 because it is not the same as region,,,,,,,,,,,,,,,,,,,,,,,
t,Psalms,"psalm, song, poem",Songs of Dewid (R); song (G); ,"A psalm from the Old Testament is a song or poem, originally written in Hebrew, which was used in worship. David was the author of many of the biblical psalms. Psalms can express praises, prayers, laments, curses, teachings and predictions.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,pure,purity,"clean (R); not any dirty behaviour (R); 
behaviour straight in God’s eyes (K), no dirtiness in it (K);","To be pure means to have no corruption, to be authentic, to have no sin. Someone or something that is pure is ritually clean and not contaminated by anything evil. Purity is often used in Scripture to mean holiness or perfection. ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
t,Rabbi,"Rabboni, teacher, master","my Teacher; Teacher (R, W);","Rabbi means ""My Teacher"" or simply ""Teacher."" It is a Jewish title of respect and it is used especially with spiritual instructors and learned persons of the Jewish faith. A longer and more respectful way to say teacher is Rabboni.",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
n,Rachel,,,"Rachel was one of Jacob's two wives. She was the mother of Joseph and Benjamin. In Jeremiah 31:15, mothers in Israel are called Rachel, and in Matthew 2:18, her name is used to repreent mothers in Bethlehem when they weep for their dead children. The name Rachel means ewe or girl sheep.",,,GC: Does this capture the point? RRyes,"mod by CB 2024
rev by JB 4/24",,,,,,,,,,,,,,,,,,,,,,,
n,Rahab,,,"Rahab was a Canaanite woman, an inn keeper and a harlot (perhaps a pagan temple prostitute) who lived in the city of Jericho around 1400 years before Jesus. She believed in Israel's God when she heard how he saved the Israellites from Egypt, so she helped Israelite spies escape from Jericho. Rahab became an ancestor of Jesus. (The name Rahab also occurs in the Old Testament in reference to a sea monster or dragon, and as a name for Egypt.) ",,,,mod by CB 2024,,,,,,,,,,,,,,,,,,,,,,,
